newmoonnumber,abundance,date,mintemp,precipitation,cool_precip,warm_precip,precip
436,84,2012-09-15,17.361379310344827,14.700000000000001,76.5,90.5,14.700000000000001
437,68,2012-10-15,14.0624,4.3,76.5,91.2,4.3
438,18,2012-11-13,9.074137931034484,0.2,75.2,86.9,0.2
439,3,2012-12-13,5.440466666666667,2.9000000000000004,29.099999999999998,71.8,2.9000000000000004
440,0,2013-01-11,-1.3243448275862069,12.5,32.9,71.8,12.5
441,2,2013-02-10,0.1915333333333333,9,38.5,72.3,9
442,9,2013-03-11,0.049862068965517266,11.4,30.2,74.2,11.4
443,48,2013-04-10,8.2542,1.4000000000000001,28.4,75.2,1.4000000000000001
444,52,2013-05-09,10.652827586206897,0,27.7,72.60000000000001,0
445,62,2013-06-08,15.43,0.8,27.7,71.7,0.8
446,73,2013-07-08,20.284333333333333,11.8,27.7,58.900000000000006,11.8
447,68,2013-08-06,18.80448275862069,65.7,27.7,109.9,65.7
448,63,2013-09-05,18.672,46.8,27.7,143,46.8
449,50,2013-10-04,15.10344827586207,65.3,27.7,200.1,65.3
450,37,2013-11-03,8.262566666666666,0.8,27.7,200.9,0.8
451,20,2013-12-02,4.5857931034482755,21.2,48.800000000000004,198.2,21.2
452,3,2014-01-01,0.23776666666666665,15,52.7,197.9,15
453,1,2014-01-30,1.1837241379310346,0,45.6,194.6,0
454,15,2014-03-01,4.829433333333333,1.4000000000000001,38.7,195.9,1.4000000000000001
455,44,2014-03-30,6.561034482758621,9.3,36.2,203.3,9.3
456,53,2014-04-28,9.501379310344827,5.8,36.2,207.7,5.8
457,74,2014-05-28,12.535733333333333,0.1,36.2,207,0.1
458,108,2014-06-27,20.362666666666666,6.6,36.2,209.4,6.6
459,46,2014-07-26,19.462413793103448,56.3,36.2,211.3,56.3
460,94,2014-08-25,17.823999999999998,95.52181420000001,36.2,275.5218142,95.52181420000001
461,61,2014-09-23,16.88896551724138,111.11315060000001,36.2,286.9349648,111.11315060000001
462,35,2014-10-23,12.028333333333332,36.115413600000004,36.2,323.0503784,36.115413600000004
463,20,2014-11-22,6.095366666666667,7.86384,34.800000000000004,330.0142184,7.86384
464,6,2014-12-21,3.139965517241379,13.3976531,5.1687998,339.0430717,13.3976531
465,9,2015-01-20,-0.7977666666666666,12.523894,16.8470671,339.1886984,12.523894
466,21,2015-02-18,3.8,33.7853858,16.8926938,372.8284575,33.7853858
467,42,2015-03-20,5.152,23.5915203,18.9314672,383.78120440000004,23.5915203
468,70,2015-04-18,8.690379310344827,0,18.9314672,381.9812044,0
469,49,2015-05-17,9.682689655172414,5.8250671,18.9314672,383.80627150000004,5.8250671
470,76,2015-06-16,15.021066666666666,4.2231737,18.9314672,387.92944520000003,4.2231737
471,106,2015-07-15,19.486896551724136,55.3381367,18.9314672,386.1675819,55.3381367
472,111,2015-08-14,18.856666666666666,75.580237,18.9314672,387.0756852,75.580237
473,68,2015-09-12,18.013793103448275,46.8917845,18.9314672,387.8038121,46.8917845
474,36,2015-10-12,15.189666666666666,30.144720399999997,18.9314672,295.4765051,30.144720399999997
475,11,2015-11-11,8.795666666666667,18.34896,18.9314672,300.7190654,18.34896
476,6,2015-12-11,3.6036363636363635,7.7182144,22.4265075,298.5346663,7.7182144
477,0,2016-01-09,-0.42567857142857146,25.4846671,31.6009876,295.6221328,25.4846671
478,0,2016-02-08,-1.0987,6.8444538,38.154188,261.9823737,6.8444538
479,9,2016-03-08,6.032,0,36.1154146,254.2641599,0
480,11,2016-04-07,6.4752,0,36.1154146,240.2840001,0
481,36,2016-05-06,9.611931034482758,3.6406671,36.1154146,238.5364801,3.6406671
482,26,2016-06-04,13.36448275862069,2.1844003,36.1154146,240.1383737,2.1844003
483,35,2016-07-04,19.372333333333334,35.0960268,36.1154146,243.3421578,35.0960268
484,45,2016-08-02,19.929655172413792,104.9968311,36.1154146,269.7005906,104.9968311
485,31,2016-09-01,17.331666666666667,39.6104542,36.1154146,241.01214099999999,39.6104542
486,15,2016-09-30,14.986206896551725,68.444531,36.1154146,280.0400843,68.444531
487,4,2016-10-30,12.388433333333333,4.951306,36.1154146,265.9142969,4.951306
488,0,2016-11-29,6.1318,5.672666700000001,34.361120899999996,262.5648832,5.672666700000001
489,0,2016-12-28,2.0842758620689654,26.924,45.1950676,273.9948832,26.924
490,0,2017-01-27,1.8990666666666667,44.196,54.5592004,287.7108832,44.196
491,1,2017-02-26,3.220066666666667,19.05,58.42,296.3468832,19.05
492,19,2017-03-27,8.150793103448276,0.762,58.42,297.1088832,0.762
493,15,2017-04-26,9.424533333333333,0.508,58.42,293.9762161,0.508
494,37,2017-05-25,11.747586206896552,0.1456267,58.42,292.3743225,0.1456267
495,40,2017-06-24,18.462666666666667,0,58.42,262.66648250000003,0
496,23,2017-07-23,20.154827586206896,53.9360522,58.42,239.4204001,53.9360522
497,64,2017-08-21,18.431379310344827,75.182,58.42,267.7106094,75.182
498,90,2017-09-20,16.995,12.446000000000002,58.42,229.4785287,12.446000000000002
499,39,2017-10-19,13.702758620689655,4.572,58.42,185.4112256,4.572
500,14,2017-11-18,9.321766666666667,3.302,58.42,184.63567890000002,3.302
501,1,2017-12-18,3.915966666666667,15.494,60.452000000000005,184.63567890000002,15.494
502,2,2018-01-17,2.6722,1.016,39.370000000000005,160.5056789,1.016
503,1,2018-02-15,2.759793103448276,8.128,16.002,160.2516789,8.128
504,10,2018-03-16,3.632896551724138,11.937999999999999,16.002,171.42767890000002,11.937999999999999
505,23,2018-04-15,8.768733333333333,1.016,16.002,171.1736789,1.016
506,42,2018-05-14,13.02048275862069,0.508,16.002,171.5360522,0.508
507,39,2018-06-13,16.099333333333334,1.778,16.002,173.3140522,1.778
508,39,2018-07-12,19.383793103448276,38.1,16.002,194.9582375,38.1
509,19,2018-08-11,20.816,14.986,16.002,114.554,14.986
510,21,2018-09-09,18.25,41.908,16.002,126.998,41.908
511,14,2018-10-09,16.153200000000002,29.714,16.002,156.458,29.714
512,1,2018-11-07,9.110206896551723,53.594,23.876,196.844,53.594
513,0,2018-12-07,2.322433333333333,41.148,29.464,229.864,41.148
514,0,2019-01-05,0.5373448275862069,22.352,34.798,231.388,22.352
515,0,2019-02-04,2.5091666666666668,5.8420000000000005,38.608000000000004,232.15,5.8420000000000005
516,4,2019-03-06,1.2836,9.144,46.228,213.862,9.144
517,12,2019-04-04,4.688586206896551,21.082,65.278,214.87800000000001,21.082
518,10,2019-05-04,9.835333333333333,6.096,65.278,220.466,6.096
519,13,2019-06-02,11.653896551724138,6.603999999999999,65.278,227.07,6.603999999999999
520,22,2019-07-02,17.673666666666666,8.636,65.278,220.466,8.636
521,27,2019-07-31,20.153793103448276,38.608,65.278,233.42000000000002,38.608
522,29,2019-08-30,20.363333333333333,34.032000000000004,65.278,223.512,34.032000000000004
523,27,2019-09-28,17.60655172413793,59.181999999999995,65.278,243.582,59.181999999999995
524,10,2019-10-28,10.771366666666667,3.302,57.404,198.624,3.302
525,2,2019-11-26,5.410275862068966,18.034,57.658,216.404,18.034
526,0,2019-12-26,2.2161,90.678,124.46000000000001,196.592,90.678
