newmoonnumber,abundance,date,mintemp,precipitation,cool_precip,warm_precip,precip
403,0,2010-01-15,-0.2647333333333334,14.600000000000001,43.300000000000004,108,14.600000000000001
404,1,2010-02-13,1.9158620689655173,80.9,116.60000000000001,104,80.9
405,2,2010-03-15,2.249,11.9,125.3,93.2,11.9
406,13,2010-04-14,5.5064,2.2,125.60000000000001,94.7,2.2
407,9,2010-05-13,8.896896551724138,10.6,132.1,98.8,10.6
408,15,2010-06-12,15.0881,0,132.1,80.9,0
409,21,2010-07-11,18.90758620689655,10.200000000000001,132.1,54.9,10.200000000000001
410,36,2010-08-09,19.625862068965517,27.3,132.1,69,27.3
411,50,2010-09-08,19.090666666666667,39.1,132.1,101.6,39.1
412,32,2010-10-07,16.79,11.4,132.1,113,11.4
413,14,2010-11-05,10.003206896551724,14.8,131.1,116,14.8
414,8,2010-12-05,1.9985666666666666,1.1,112.10000000000001,114.1,1.1
415,2,2011-01-04,1.5340333333333334,7.5,100.9,116.1,7.5
416,0,2011-02-02,-0.41896551724137937,2.6,42,112.7,2.6
417,5,2011-03-04,-0.2573333333333334,1.5,18.2,112.3,1.5
418,26,2011-04-03,7.2068666666666665,0.4,16.3,110.2,0.4
419,35,2011-05-02,10.06603448275862,0.30000000000000004,11.3,106.4,0.30000000000000004
420,41,2011-06-01,12.274133333333333,0,9.8,106.4,0
421,63,2011-07-01,18.634333333333334,0.6,9.8,103.2,0.6
422,82,2011-07-30,20.25862068965517,86.30000000000001,9.8,163.5,86.30000000000001
423,79,2011-08-28,19.651379310344826,29.799999999999997,9.8,147.4,29.799999999999997
424,86,2011-09-27,17.335333333333335,41.3,9.8,183.5,41.3
425,86,2011-10-26,11.681862068965517,4.9,9.8,166.5,4.9
426,44,2011-11-24,4.141241379310345,7.7,11.1,172.9,7.7
427,1,2011-12-24,0.08326666666666671,69.5,64.3,184.7,69.5
428,3,2012-01-23,0.8579666666666667,2.9000000000000004,60.300000000000004,187.5,2.9000000000000004
429,15,2012-02-21,1.323,14.299999999999999,72,187.5,14.299999999999999
430,31,2012-03-22,2.668066666666667,5.7,75.8,187.5,5.7
431,53,2012-04-21,8.0713,0.7000000000000001,76.5,187.2,0.7000000000000001
432,70,2012-05-20,13.064827586206896,4.3,76.5,191.5,4.3
433,105,2012-06-19,16.991333333333333,0.3,76.5,191.8,0.3
434,140,2012-07-18,20.326551724137932,26.6,76.5,181.7,26.6
435,120,2012-08-17,20.113666666666667,15.3,76.5,126.6,15.3
