month,mintemp,precipitation,cool_precip,warm_precip,date
2020 Jan,0.30003448275862066,14.478000000000002,111.506,198.37,2020-01-24
2020 Feb,2.1959333333333335,13.462,114.554,199.64,2020-02-23
2020 Mar,4.689551724137931,50.292,96.012,247.392,2020-03-23
2020 Apr,6.462833333333333,0.254,96.012,241.55,2020-04-22
2020 May,13.876896551724139,0,96.012,234.946,2020-05-21
2020 Jun,17.209,0.254,96.012,234.946,2020-06-20
2020 Jul,20.541333333333334,11.938,96.012,219.706,2020-07-20
2020 Aug,20.916896551724136,43.175999999999995,96.012,210.308,2020-08-18
2020 Sep,18.075333333333333,13.208,96.012,197.862,2020-09-17
2020 Oct,14.630689655172414,0,96.012,159.762,2020-10-16
2020 Nov,7.963333333333333,0.762,96.52,159.254,2020-11-15
2020 Dec,3.1386206896551725,0.254,22.86,130.298,2020-12-14
2021 Jan,-1.4120333333333333,0.508,12.953999999999999,125.218,2021-01-13
2021 Feb,2.4165862068965516,0.508,2.032,120.13799999999999,2021-02-11
2021 Mar,1.7787333333333333,0,1.27,78.736,2021-03-13
2021 Apr,7.086068965517241,0,1.27,69.338,2021-04-11
2021 May,10.9391,0,1.27,69.338,2021-05-11
2021 Jun,15.560310344827586,0,1.27,69.338,2021-06-09
2021 Jul,20.62793103448276,23.300266666666673,1.27,91.62226666666668,2021-07-08
2021 Aug,19.24266666666667,114.89944000000007,1.27,152.16970666666674,2021-08-07
2021 Sep,17.99896551724138,85.51194666666667,1.27,234.3796533333334,2021-09-05
2021 Oct,15.550666666666666,60.45,1.27,284.9236533333334,2021-10-05
2021 Nov,8.742333333333333,0,0.762,284.9236533333334,2021-11-04
2021 Dec,6.7398,1.016,1.778,284.66965333333343,2021-12-04
